J42;68062;0;72947;1;0.071761;
J86;68050;0;77415;1;0.137617;
J87;68052;0;74593;1;0.096106;
J88;68050;0;73891;1;0.085825;
J110;3354;0;3494;1;0.041738;
J114;3356;0;3590;1;0.069555;
J130;5580;0;6184;1;0.108233;
J150;3357;0;4202;1;0.251631;
J154;3363;0;3928;1;0.167909;
J159;5581;0;6148;1;0.101436;
J213;3358;0;3598;1;0.071362;
J214;3356;0;3690;1;0.09945;
J227;3366;0;3628;1;0.077809;
J239;23581;0;25550;1;0.08349;
J257;14129;0;15252;1;0.079429;
J258;14130;0;14950;1;0.058031;
J262;14124;0;14727;1;0.042635;
J263;14124;0;15901;1;0.125802;
J264;14123;0;15344;1;0.086447;
J265;14121;0;15314;1;0.084475;
J270;79113;0;89503;1;0.131331;
J298;22022;0;24353;1;0.105846;
J310;14124;0;16235;1;0.149458;
J318;67971;0;76632;1;0.127418;
J319;68001;0;74791;1;0.099846;
J333;10964;0;11621;1;0.059833;
J358;10849;0;11790;1;0.08669;
J380;5807;0;6181;1;0.064305;
J395;841;0;944;1;0.121641;
J412;68005;0;74217;1;0.091339;
J413;67952;0;73640;1;0.083695;
J414;67513;0;72867;1;0.079293;
J415;68000;0;75625;1;0.112129;
J472;777;0;832;1;0.069661;
J473;776;0;817;1;0.051692;
J520;37775;0;41057;1;0.086872;
J534;54168;0;57285;1;0.057532;
J603;21364;0;23622;1;0.10567;
J605;41649;0;46088;1;0.106562;
J614;15170;0;16060;1;0.058607;
J622;13644;0;14522;1;0.0643;
J630;41642;0;45483;1;0.092238;
J649;74987;0;85046;1;0.134138;
J665;49524;0;52707;1;0.064254;
J668;49516;0;53735;1;0.085197;
J681;7954;0;8335;1;0.047781;
J689;5913;0;6413;1;0.084436;
J711;75532;0;83943;1;0.111353;
J790;54939;0;58570;1;0.066077;
J799;54939;0;59258;1;0.078605;
J868;75500;0;89407;1;0.184194;
J889;7957;0;8548;1;0.074262;
J922;4174;0;4473;1;0.071475;
J1007;15631;0;16892;1;0.080621;
J1010;76620;0;83248;1;0.086503;
J1072;31551;0;33310;1;0.055729;
J1082;38795;0;44572;1;0.148891;
J1085;38792;0;45224;1;0.165797;
J1111;76626;0;80355;1;0.048661;
J1113;34583;0;36454;1;0.054079;
J1136;63032;0;67759;1;0.07498;
J1137;76621;0;84021;1;0.096577;
J1211;10163;0;10788;1;0.061453;
J1222;37153;0;45385;1;0.221557;
J1223;37196;0;40856;1;0.098383;
J1247;75551;0;80183;1;0.061302;
J1279;34590;0;38069;1;0.100569;
J1426;14124;0;15819;1;0.119996;
J1427;14125;0;14556;1;0.030506;
J1534;14123;0;15716;1;0.11278;
J1550;68008;0;73973;1;0.087708;
J1552;11254;0;13022;1;0.157096;
J1612;2910;0;3532;1;0.21341;
J1655;29947;0;32657;1;0.09048;
J1656;16593;0;17331;1;0.044419;
J1657;29942;0;32064;1;0.07087;
J1658;16593;0;17499;1;0.054577;
J1659;16595;0;18467;1;0.112791;
J1666;16594;0;17491;1;0.054007;
J1668;16596;0;20380;1;0.227956;
J1671;16595;0;20850;1;0.256377;
J1689;56743;0;61600;1;0.085582;
J1739;68242;0;73113;1;0.071377;
J1740;41637;0;44779;1;0.075456;
J1741;14125;0;15004;1;0.062162;
J1743;41639;0;48073;1;0.154502;
J1770;5931;0;6269;1;0.056987;
J1775;2501;0;2777;1;0.110234;
J1833;40944;0;45608;1;0.113893;
J1869;1697;0;1871;1;0.102226;
J1872;572;0;675;1;0.178648;
J1905;1334;0;1456;1;0.091052;
J1907;1330;0;1437;1;0.080329;
J1908;1329;0;1504;1;0.131433;
J1912;1329;0;1448;1;0.089281;
J1922;10170;0;10931;1;0.074777;
J1976;1326;0;1471;1;0.109205;
J1977;1322;0;1480;1;0.11928;
J1978;1327;0;1451;1;0.092772;
J1980;1323;0;1390;1;0.049934;
J1984;1329;0;1423;1;0.070475;
J1986;1330;0;1412;1;0.061198;
J1987;1326;0;1412;1;0.064239;
J1988;1329;0;1420;1;0.068155;
J2011;5436;0;5932;1;0.091227;
J2035;862;0;914;1;0.060206;
J2036;1697;0;1897;1;0.117427;
J2042;3405;0;4113;1;0.207872;
J2118;22039;0;23724;1;0.076416;
